index,name
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-412_subsection-c,this section
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-412_subsection-c,factory
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-412_subsection-c,pension
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-412_subsection-c,party
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-412_subsection-c,name
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-412_subsection-c,member of a controlled group
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-412_subsection-c,person
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-412_subsection-c,employer plan
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-412_subsection-c,csec plan
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-412_subsection-c,single employer
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-412_subsection-c,contributing sponsor
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-412_subsection-c,act
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-412_subsection-c,sponsor
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-412_subsection-c,employers
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-412_subsection-c,employee retirement income security act of 1974
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-412_subsection-c,multiemployer plan
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-412_subsection-c,will
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-412_subsection-c,employee
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-412_subsection-c,plan participant
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-412_subsection-c,tin
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-412_subsection-c,plan participants
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-412_subsection-c,applicant
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-412_subsection-c,account
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-412_subsection-c,pension benefit guaranty corporation
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-412_subsection-c,group
